kernel,dataset,model,log2_ratio
SpGEMM2,Triangular,Blocked-Uniform,0.23423799277740115
SpGEMM2,Triangular,Blocked-DC,0.9714308478032291
SpGEMM2,Triangular,Blocked-Database,1.456857674973471
SpGEMM2,Striped,Dense,2.321928094887362
SpGEMM2,Striped,Uniform,2.321826331456967
SpGEMM2,Striped,DC,0.0
SpGEMM2,Striped,Database,0.0
SpGEMM2,Striped,Blocked-Dense,2.321928094887362
SpGEMM2,Striped,Blocked-Uniform,2.321826331456967
SpGEMM2,Striped,Blocked-DC,2.321928094887362
SpGEMM2,Striped,Blocked-Database,2.321928094887362
SpGEMM2,ca-GrQc,Dense,8.965784284662087
SpGEMM2,ca-GrQc,Uniform,-2.321928094887362
SpGEMM2,ca-GrQc,DC,0.0
SpGEMM2,ca-GrQc,Database,0.0
SpGEMM2,ca-GrQc,Blocked-Dense,8.965784284662087
SpGEMM2,ca-GrQc,Blocked-Uniform,-2.321928094887362
SpGEMM2,ca-GrQc,Blocked-DC,4.643856189774724
SpGEMM2,ca-GrQc,Blocked-Database,1.2630344058337937
SpGEMM2,ca-HepTh,Dense,10.287712379549449
SpGEMM2,ca-HepTh,Uniform,-1.0
SpGEMM2,ca-HepTh,DC,0.0
SpGEMM2,ca-HepTh,Database,0.0
SpGEMM2,ca-HepTh,Blocked-Dense,10.287712379549449
SpGEMM2,ca-HepTh,Blocked-Uniform,-1.0
SpGEMM2,ca-HepTh,Blocked-DC,2.321928094887362
SpGEMM2,ca-HepTh,Blocked-Database,0.0
SpGEMM2,web-NotreDame,Dense,0.5063526660247898
SpGEMM2,web-NotreDame,Uniform,0.029751796208751537
SpGEMM2,web-NotreDame,DC,0.07194984187901474
SpGEMM2,web-NotreDame,Database,0.07194984187901474
SpGEMM2,web-NotreDame,Blocked-Dense,0.5063526660247898
SpGEMM2,web-NotreDame,Blocked-Uniform,-0.07142493319051298
SpGEMM2,web-NotreDame,Blocked-DC,0.5063526660247898
SpGEMM2,web-NotreDame,Blocked-Database,0.9094715355258277
Triangle Counting,Diagonal,Dense,5.643856189774724
Triangle Counting,Diagonal,Uniform,-5.643856189774724
Triangle Counting,Diagonal,DC,0.0
Triangle Counting,Diagonal,Database,0.0
Triangle Counting,Diagonal,Blocked-Dense,5.643856189774724
Triangle Counting,Diagonal,Blocked-Uniform,-3.3865750917380804
Triangle Counting,Diagonal,Blocked-DC,0.0
Triangle Counting,Diagonal,Blocked-Database,0.0
Triangle Counting,Tridiagonal,Dense,4.0782590139204995
Triangle Counting,Tridiagonal,Uniform,-2.634903423927725
Triangle Counting,Tridiagonal,DC,0.0
Triangle Counting,Tridiagonal,Database,3.13119435170845
Triangle Counting,Tridiagonal,Blocked-Dense,4.0782590139204995
Triangle Counting,Tridiagonal,Blocked-Uniform,-0.9119892275777635
Triangle Counting,Tridiagonal,Blocked-DC,0.0
Triangle Counting,Tridiagonal,Blocked-Database,2.9349365437062254
Triangle Counting,Banded,Dense,2.265344566520995
Triangle Counting,Banded,Uniform,-0.16739079812062457
Triangle Counting,Banded,DC,0.0
Triangle Counting,Banded,Database,5.643856189774724
Triangle Counting,Banded,Blocked-Dense,2.265344566520995
Triangle Counting,Banded,Blocked-Uniform,-0.026085738246845104
Triangle Counting,Banded,Blocked-DC,0.0
Triangle Counting,Banded,Blocked-Database,3.7089512179966095
Triangle Counting,Triangular,Dense,0.9714308478032291
Triangle Counting,Triangular,Uniform,-4.1478779325343656e-07
Triangle Counting,Triangular,DC,0.0
Triangle Counting,Triangular,Database,5.643856189774724
Triangle Counting,Triangular,Blocked-Dense,0.9714308478032291
Triangle Counting,Triangular,Blocked-Uniform,-0.008505923939072414
Triangle Counting,Triangular,Blocked-DC,0.0
Triangle Counting,Triangular,Blocked-Database,4.682925754453317
Triangle Counting,Striped,Dense,2.321928094887362
Triangle Counting,Striped,Uniform,-0.2007233211606734
Triangle Counting,Striped,DC,0.0
Triangle Counting,Striped,Database,3.321928094887362
Triangle Counting,Striped,Blocked-Dense,2.321928094887362
Triangle Counting,Striped,Blocked-Uniform,-0.20072332116067376
Triangle Counting,Striped,Blocked-DC,0.0
Triangle Counting,Striped,Blocked-Database,3.321928094887362
Triangle Counting,ca-GrQc,Dense,11.287712379549449
Triangle Counting,ca-GrQc,Uniform,0.0
Triangle Counting,ca-GrQc,DC,2.321928094887362
Triangle Counting,ca-GrQc,Database,2.321928094887362
Triangle Counting,ca-GrQc,Blocked-Dense,11.287712379549449
Triangle Counting,ca-GrQc,Blocked-Uniform,0.0
Triangle Counting,ca-GrQc,Blocked-DC,1.584962500721156
Triangle Counting,ca-GrQc,Blocked-Database,1.584962500721156
Triangle Counting,ca-HepTh,Dense,11.287712379549449
Triangle Counting,ca-HepTh,Uniform,0.0
Triangle Counting,ca-HepTh,DC,1.0
Triangle Counting,ca-HepTh,Database,1.0
Triangle Counting,ca-HepTh,Blocked-Dense,11.287712379549449
Triangle Counting,ca-HepTh,Blocked-Uniform,0.0
Triangle Counting,ca-HepTh,Blocked-DC,1.0
Triangle Counting,ca-HepTh,Blocked-Database,1.0
Triangle Counting,web-NotreDame,Dense,3.8119789485830515
Triangle Counting,web-NotreDame,Uniform,-1.5073267595674011
Triangle Counting,web-NotreDame,DC,0.23851208669972487
Triangle Counting,web-NotreDame,Database,4.379290742482521
Triangle Counting,web-NotreDame,Blocked-Dense,3.8119789485830515
Triangle Counting,web-NotreDame,Blocked-Uniform,-0.6363288889341641
Triangle Counting,web-NotreDame,Blocked-DC,0.23851208669972487
Triangle Counting,web-NotreDame,Blocked-Database,3.269262938776786
